"id","mechanism","percentage","n","moderator","method","qp_full_power","rp_full_power","coefp_full_power","qp_recovered_power","rp_recovered_power","coefp_recovered_power","MSE_full","coef_bias_full","coef_var_full","deviance_full","MSE_recovered","coef_bias_recovered","coef_var_recovered","deviance_recovered"
11,"mar",0.1,25,"1c","CC",0.072,0.137,0.137,0.072,0.126,0.126,0.180173665130477,-4.29339042033993e-05,0.0405620845154427,24.3327877425539,0.180935346893887,-0.00904199788952737,0.044320068244929,22.1656515030344
12,"mnar",0.1,25,"1c","CC",0.078,0.128,0.128,0.078,0.12,0.12,0.18151334580008,-0.00134699439979018,0.0408187368166028,24.4514585645906,0.181649417716631,-0.00127361618070876,0.0440917631544502,22.194577011724
13,"mcar",0.25,25,"1c","CC",0.073,0.154,0.154,0.064,0.121,0.121,0.182128960736921,0.00513512625955996,0.0405842076484813,24.5615291685552,0.182432559450682,0.00583775151816826,0.0562613146134812,17.7692339318034
14,"mar",0.25,25,"1c","CC",0.077,0.127,0.127,0.072,0.099,0.099,0.183228758185798,0.0004110326430692,0.0408467925811713,24.6576828613644,0.184146603033159,-0.0232075700692449,0.0553284995479021,17.8976671950743
15,"mnar",0.25,25,"1c","CC",0.066,0.116,0.116,0.066,0.088,0.088,0.180278110387818,-0.00173498122949541,0.0405507993650939,24.3472215481734,0.179215523601521,-0.00108921566213173,0.0526677362770753,17.5228897373529
16,"mcar",0.4,25,"1c","CC",0.062,0.141,0.141,0.072,0.083,0.083,0.181777848266068,0.00120477222677655,0.0406053981630403,24.5219734415122,0.181768996130561,-0.00101109694173319,0.0759721817206273,13.1666074207104
17,"mar",0.4,25,"1c","CC",0.074,0.133,0.133,0.05,0.078,0.078,0.18171091159591,0.000527105281882038,0.0409090631985416,24.460353070391,0.173337734558786,-0.0480437667398756,0.0712365087964211,12.6806859864836
18,"mnar",0.4,25,"1c","CC",0.074,0.121,0.121,0.07,0.096,0.096,0.183270470646025,-0.00144763401149817,0.0409404417836334,24.654625230184,0.181300984332509,0.0013848190420481,0.0720306831628678,13.1415118137977
19,"mcar",0.1,50,"1c","CC",0.078,0.237,0.237,0.073,0.21,0.21,0.180867185395657,-0.00105613202664678,0.0195635812625269,52.6006896409989,0.180355859015767,-0.00161050008896362,0.0219305447767696,46.8495280381325
20,"mar",0.1,50,"1c","CC",0.105,0.224,0.224,0.098,0.199,0.199,0.184172392661217,-0.000827798120161013,0.0197955521326577,53.3478043336373,0.183329003823546,-0.00973004818762588,0.0219728754220623,47.451902724411
21,"mnar",0.1,50,"1c","CC",0.07,0.234,0.234,0.075,0.234,0.234,0.178388310754365,-0.00236815099012867,0.0194939607780483,51.9662552253269,0.177963368623094,-0.00201440281531854,0.0212764907666413,46.2982970493519
22,"mcar",0.25,50,"1c","CC",0.076,0.264,0.264,0.073,0.199,0.199,0.179862068401404,0.00211131891704904,0.0195482280164304,52.3495110131134,0.178677378122204,0.00288122723233702,0.0263344434541602,38.6626216504626
23,"mar",0.25,50,"1c","CC",0.065,0.25,0.25,0.061,0.194,0.194,0.180145119711285,0.00164306502884034,0.0194943345217202,52.4453570684493,0.177902016238155,-0.0181340856389237,0.0257744849118843,38.5411743647427
24,"mnar",0.25,50,"1c","CC",0.082,0.239,0.239,0.088,0.193,0.193,0.180985592313766,0.000596499606790613,0.0196101036740163,52.60623798914,0.18123819025302,-0.000583303740306462,0.0251949439360434,39.1053466939516
25,"mcar",0.4,50,"1c","CC",0.085,0.224,0.224,0.071,0.147,0.147,0.181618580367699,-0.000516879911038362,0.0196670100769177,52.7353620066656,0.181791311476634,-0.00259171539816921,0.0343650998776594,30.1612205063188
26,"mar",0.4,50,"1c","CC",0.09,0.228,0.228,0.049,0.123,0.123,0.181007377762345,-0.00436417531006138,0.0196086196050915,52.6104577176758,0.172093932944328,-0.0481400690292262,0.0326905190577771,28.8206222567466
27,"mnar",0.4,50,"1c","CC",0.079,0.221,0.221,0.081,0.137,0.137,0.182325222424592,-0.00198775651492991,0.0197351303688024,52.9158565892049,0.182038532322413,-0.00387596799099753,0.03287136647176,30.1595016566632
28,"mcar",0.1,10,"1c1c","CC",0.489,0.543,0.058,0.455,0.499,0.062,0.187121142915568,-0.0056743382806292,0.166575012818612,6.59184813157194,0.187904149003376,-0.00292834467923225,0.203054827333355,5.46327442393383
29,"mar",0.1,10,"1c1c","CC",0.462,0.559,0.054,0.425,0.489,0.053,0.177350578841584,-0.0132738790080592,0.161739138714657,6.32319767395665,0.177014536788938,-0.0178420647814197,0.195192428617765,5.21854914893975
30,"mnar",0.1,10,"1c1c","CC",0.452,0.531,0.06,0.418,0.46,0.049,0.178506749436928,0.0108870551472587,0.159501679811097,6.35095117664526,0.179546890769695,0.00910473297646183,0.191994649403564,5.26618527322923
31,"mcar",0.25,10,"1c1c","CC",0.491,0.532,0.065,0.423,0.442,0.061,0.188412246782081,0.0128014756899166,0.167813399561649,6.5858798935961,0.185343728641437,0.0137142296748165,0.251126325467156,4.25228769702699
32,"mar",0.25,10,"1c1c","CC",0.47,0.565,0.077,0.401,0.442,0.063,0.173880349014727,0.00175131676810255,0.160803350089466,6.21802245043561,0.173756649894257,0.0128937003309732,0.244006862622705,4.05654930338887
33,"mnar",0.25,10,"1c1c","CC",0.481,0.568,0.062,0.435,0.453,0.05,0.178373998057087,-0.012399596210178,0.161230094087469,6.31158430695541,0.181853255905636,-0.0107547094296749,0.242655141763255,4.1723679865727
34,"mcar",0.4,10,"1c1c","CC",0.474,0.539,0.053,0.338,0.32,0.051,0.182148068446595,0.00446816900897158,0.161434500717957,6.44706548229464,0.185284860560807,0.0083170788336105,0.577379276056222,2.01403855111324
35,"mar",0.4,10,"1c1c","CC",0.474,0.559,0.076,0.322,0.3,0.048,0.178224302457842,-0.00582156580822937,0.160042431783412,6.32095990015142,0.175218202330882,-0.0324633197196583,0.486352397816184,1.92716770012766
36,"mnar",0.4,10,"1c1c","CC",0.463,0.54,0.064,0.369,0.309,0.05,0.183911634857642,0.00898921920093176,0.168208062788839,6.47072478984158,0.189834926784195,-0.00659187979939511,0.700589189923432,2.01311443611339
37,"mcar",0.1,25,"1c1c","CC",0.744,0.952,0.13,0.723,0.927,0.121,0.181634165772012,0.012921065698909,0.0516587857823418,23.286714537576,0.181262490512481,0.013055942259825,0.0569675009012081,21.0154966036185
38,"mar",0.1,25,"1c1c","CC",0.771,0.944,0.11,0.745,0.928,0.098,0.181464138798207,0.0011227962535035,0.0513712320007262,23.3473285443227,0.182640392742756,-0.00150922256548694,0.0569729385786117,21.1824575011506
